Year,Sector,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region XI - Davao RegionRegion XI - Davao RegionRegion XI - Davao Region,1854,4967,2196,4206,3847,3650,5187,6925,34,2,16197,14053,5,4,63,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region XI - Davao RegionRegion XI - Davao RegionRegion XI - Davao Region,2061,4795,3175,5459,3016,3482,5772,7672,123,9,15933,13400,8,0,67,106,1476.0,4156.0,1822.0,3492.0,2818.0,2839.0,4495.0,6311.0,95.0,7.0,12911.0,11454.0,5.0,4.0,71.0,53.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region XI - Davao RegionRegion XI - Davao RegionRegion XI - Davao Region,2193,5179,4732,7396,3952,4599,5498,7629,202,22,18567,15024,13,0,82,97,1868.0,4567.0,3058.0,5466.0,3417.0,4024.0,5196.0,6909.0,116.0,9.0,14698.0,12557.0,8.0,0.0,66.0,114.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region XI - Davao RegionRegion XI - Davao RegionRegion XI - Davao Region,2095,5107,6349,9583,4262,5363,5242,6935,158,10,18915,14622,5,2,81,113,2017.0,5018.0,4300.0,7162.0,3900.0,4588.0,4821.0,6638.0,183.0,20.0,16306.0,13568.0,16.0,0.0,97.0,124.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,Region XI - Davao RegionRegion XI - Davao RegionRegion XI - Davao Region,1775,4461,6666,10118,4030,5071,6851,9427,58,4,17119,13410,6,1,51,55,1760.0,4442.0,5617.0,8816.0,3499.0,4523.0,4580.0,6328.0,141.0,11.0,15863.0,12577.0,4.0,2.0,65.0,105.0
