Year,Sector,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
2016 - 2017,PUBLICPRIVATESUCsLUCs,CARAGA - CARAGACARAGA - CARAGACARAGA - CARAGA,954,2222,1218,2120,1857,1847,3753,5050,0,0,10094,7821,22,9,21,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,CARAGA - CARAGACARAGA - CARAGACARAGA - CARAGA,1028,2306,1939,2809,1531,1839,4486,5331,23,0,9489,7707,38,4,24,36,834.0,2141.0,1064.0,1977.0,1705.0,1794.0,3294.0,4464.0,0.0,0.0,8734.0,6780.0,16.0,9.0,30.0,41.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,CARAGA - CARAGACARAGA - CARAGACARAGA - CARAGA,1128,2620,2861,3939,1909,2386,4686,5687,145,3,10850,7670,43,18,48,44,998.0,2258.0,1881.0,2774.0,1535.0,1879.0,4038.0,5150.0,29.0,0.0,9003.0,7111.0,26.0,4.0,26.0,37.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,CARAGA - CARAGACARAGA - CARAGACARAGA - CARAGA,1066,2409,3231,4569,2246,2828,5042,5776,136,11,10831,7672,37,23,84,95,1040.0,2499.0,2578.0,3771.0,1858.0,2359.0,4325.0,5320.0,125.0,2.0,9541.0,6904.0,41.0,19.0,46.0,47.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,CARAGA - CARAGACARAGA - CARAGACARAGA - CARAGA,890,2174,4175,5718,2564,3473,6273,7660,73,6,10283,7347,15,2,83,93,960.0,2210.0,3003.0,4463.0,2149.0,2684.0,4561.0,5548.0,122.0,10.0,9882.0,7281.0,30.0,24.0,76.0,95.0
