Year,Sector,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
2016 - 2017,PUBLICPRIVATESUCsLUCs,Region III - Central LuzonRegion III - Central LuzonRegion III - Central Luzon,8781,20429,5670,9325,16933,12131,12964,14538,230,25,35512,28131,205,75,120,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 - 2018,PUBLICPRIVATESUCsLUCs,Region III - Central LuzonRegion III - Central LuzonRegion III - Central Luzon,8671,19397,8235,12196,13674,11522,15281,15492,585,45,35931,28660,115,59,158,156,7560.0,18263.0,4977.0,8246.0,15090.0,10955.0,11113.0,12965.0,229.0,27.0,29754.0,23987.0,134.0,56.0,109.0,124.0
2018 - 2019,PUBLICPRIVATESUCsLUCs,Region III - Central LuzonRegion III - Central LuzonRegion III - Central Luzon,9505,20769,12399,16941,14987,12949,16079,15290,425,23,36638,26690,220,98,185,190,8110.0,18871.0,7853.0,11914.0,13506.0,11514.0,14316.0,14664.0,475.0,31.0,32840.0,26003.0,118.0,63.0,181.0,147.0
2019 - 2020,PUBLICPRIVATESUCsLUCs,Region III - Central LuzonRegion III - Central LuzonRegion III - Central Luzon,9279,20363,17836,23057,16876,15598,14109,12935,334,18,34749,24148,106,49,232,227,8747.0,19510.0,11294.0,15885.0,14422.0,12602.0,14416.0,13895.0,377.0,22.0,32168.0,23583.0,198.0,107.0,188.0,185.0
2020 - 2021,PUBLICPRIVATESUCsLUCs,Region III - Central LuzonRegion III - Central LuzonRegion III - Central Luzon,8664,19861,21028,26201,18203,18051,15383,14368,233,27,29000,21075,102,50,187,187,8505.0,19129.0,16365.0,21617.0,16157.0,15037.0,12500.0,11834.0,294.0,18.0,29288.0,21129.0,87.0,44.0,194.0,182.0
